"","nLABO","GRID","DoY","HEIGHT","night_hrs","nUwind","nVwind","nWNDsp_mean","nPRES","nPresChange","nRH","nCloud","nTotRain","nMoon"
"5106",0,"41",125,105,8.79833333333333,1.36488477777778,-1.11549311111111,1.79035131261465,96952.3333333333,-113,69.8890111111111,0,0,0
"1691",0,"23",147,45,8.07222222222222,-2.82180475,4.69597625,5.69845518408983,95147.25,498,87.250075,86.7502625,1.44,9.48860776822501
"8497",0,"52",193,65,7.9425,-0.0367258875,0.573494,2.59065255892696,96716.375,-292,87.125325,62.5,9,4.2881010259652
"8604",0,"52",300,65,12.4463888888889,0.120260797692308,-0.235142330769231,1.02048186951674,98052.9,-200,90.3138384615385,76.5387153846154,0,0.702526812187099
"2828",0,"31",157,65,7.7925,1.29811775,-0.6355395,1.46891611901375,96275.875,-60,64.125025,0.5,0,0
"7941",0,"51",232,85,9.37138888888889,-0.9517107,2.876463,3.09493772982481,97604.8,-120,76.30015,22.8,5.04,8.09606010001018
"9269",0,"55",273,65,11.28,-1.27554672727273,-0.781150678181818,1.6378630085648,98673.7272727273,-341,79.2728545454545,0.363636363636364,0,78.5657395699937
"5736",0,"42",265,105,10.9086111111111,-2.65501145454545,0.350336363636364,3.47203631897296,97412.2727272727,-266,81.6365727272727,49.0913,1.755,27.5629563148503
"8751",0,"53",285,65,11.8038888888889,2.34638916666667,-6.36772916666667,6.81076623806774,96704.8416666667,-500,81.4143583333333,83.9164416666667,2.52,8.10104844737414
"7718",0,"51",223,65,8.96527777777778,-1.23611382222222,3.33482777777778,3.64246775675783,97409.4444444444,100,81.4445888888889,69.1116444444445,7.02,3.73077887999962
"7040",0,"45",252,45,10.3169444444444,-0.72233993,2.20892,2.37776910568588,96700.83,18.7000000000116,93.87796,72.7006,0,9.57406107624329
"6707",0,"44",222,105,8.97694444444445,-1.93270333333333,2.26673,3.00103205216846,97258.4444444444,1,91.5556111111111,6.88888888888889,0,11.889803728558
"4993",0,"41",211,105,8.48472222222222,0.80180325,0.578933875,1.52691614161018,97389,23,84.0002625,24,0,75.8223463220452
"6510",0,"44",248,105,10.1361111111111,-1.41300555555556,4.87987333333333,5.08949705613579,97068.2222222222,41,76.1113222222222,22.0000111111111,0,21.2287583212444
"95",0,"12",232,85,9.39083333333333,0.2982889,5.101463,5.18450816950357,95982.9,22,61.70013,17.2,0.72,9.19547721789549
"6700",11,"44",194,105,8.02583333333333,-0.786429,2.426555,2.60546467812592,96994,227,90.7500875,5.25,0,28.1000130959029
"6151",0,"43",308,45,12.7572222222222,-1.53247458461538,6.94822,7.18561893386099,96655.2307692308,196,78.5385153846154,66.1538499685462,0,2.88936108339292
"6228",83,"43",165,45,7.75444444444444,-1.16528075,1.047371,1.78853908502555,96608.5,369,83.7500875,32,0.09,35.960909016341
"257",0,"12",175,85,7.70833333333333,-1.1628945,0.634132325,1.56632847159478,96347,199,85.50005,11.75,0,53.7644679347633
"5100",0,"41",119,105,9.05583333333333,0.640095466666667,-1.92926344444444,2.1377668503441,97228.7777777778,-42,89.3333444444444,100,0.18,0
"5062",0,"41",81,105,10.8355555555556,0.9831102,3.836447,4.35427676944041,95538.1,496,45.70011,65.99993,0,33.6556899897537
"403",0,"14",149,85,8.03833333333333,1.482665125,-7.7570625,7.90347514931672,96404.125,-163,84.5001125,95.250075,1.8,4.17787384050373
"5805",0,"42",91,105,10.3675,5.882052,-2.9307234,6.74293651464034,96454.1,-470,83.59999,73.79971,2.07,6.89876781849238
"322",0,"12",240,85,9.74027777777778,-0.9602503,1.0963251,1.49177440756585,96592.45,-200,86.33649,14.6,0,4.29746137210954
"98",0,"12",235,85,9.52527777777778,0.6810862,0.3235734,1.13501347640685,96839.5,-125,84.30019,0,0,32.4068232926425
"7338",0,"45",105,85,9.74972222222222,-2.141915,3.543129,4.14930844848508,96903,-10,53.20006,1.6,0,42.1841188724449
"1342",0,"22",89,65,10.4625,-3.5785424,5.970028,7.08431600101113,95646.5,711,38.00001,92.00052,0,1.12173456288028
"7963",0,"51",254,85,10.3902777777778,0.7525755,-0.36986003,0.88631611729514,98557,-58,90.90024,41.99992,0,0
"5457",0,"42",153,65,7.9,-0.08896716125,-1.12835975,1.27842764217642,97314.875,-105,71.37515,2.5,0,1.17527050254028
"2338",0,"25",127,65,8.79388888888889,1.25010075,-4.33676625,4.53178444512204,96889.875,-201,80.2501,84.7485,0,4.7034873326604
"2934",0,"31",266,65,10.9394444444444,-2.69994818181818,0.403371745454545,2.99010284519557,96668.5272727273,-204.199999999997,81.546,30.3636363636364,0,24.1183816557035
"4271",0,"34",210,65,8.52277777777778,1.166973,0.937122125,1.5625073032158,97813.625,-59,83.5003,0,0,97.8380051596769
"3278",0,"31",251,105,10.2352777777778,0.20948329,-1.32869692,1.52962558681687,96641.84,-330.100000000006,92.96742,38.60001,1.44,5.41108697045314
"7724",0,"51",229,65,9.22611111111111,-0.71418813,1.0103524,1.68334207530385,97998.8,-141,86.79997,29,0,59.8857295241887
"7347",0,"45",114,85,9.34861111111111,-1.993885,5.433546,5.81723331143849,96367.4,173,59.60012,53.20005,3.24,35.3223242480557
"8284",0,"52",161,65,7.75416666666667,-1.709548125,-3.011763875,5.08509525231872,96525,126,83.000525,100,7.11,0
"715",0,"14",231,85,9.35694444444444,-0.05305836,1.84275631,2.67260892278168,95767.6,-78,81.30024,75.40017,0,24.4239156734002
"4172",0,"34",101,65,9.90777777777778,-1.11612211111111,5.29388666666667,5.41430764990114,96929.8888888889,354,55.4445222222222,36.0000444444444,0,9.67151401271127
"6902",0,"45",89,45,10.4844444444444,-3.691042,6.670028,7.70734058942524,96224.6,647,37.60001,97.00012,0,0.000048690756040958
"7394",0,"45",161,85,7.85416666666667,0.8955276375,5.338365,5.45493724159971,96545.25,-33,56.3750625,1.25,0,10.8116720143873
"2593",0,"25",164,65,7.81972222222222,-0.148379625,2.950095,3.0809972851428,96850.75,64,70.7500875,13.25,0,31.2418389810592
"6281",20,"43",220,45,8.87861111111111,-1.001706875,-0.4843568875,1.32439267969721,97432.125,150,89.125025,1,0,6.41412067107905
"1521",0,"22",306,65,12.6836111111111,-1.72320661538462,-2.76147230769231,3.30178406762522,96642.8076923077,-234.399999999994,49.1064153846154,55.5389153846154,1.44,0.379392062775866
"5463",0,"42",159,65,7.78944444444444,-1.122857125,0.9648795,1.51161694812198,96913,29,65.0000625,4.5,0,2.61089015354256
"863",0,"21",158,45,7.77277777777778,2.1075625,-0.38630285,2.19970579541174,96060.625,-25,81.750125,2.25,0,40.7805589083609
"4392",0,"34",90,65,10.4305555555556,1.86924,-4.152779,4.59491620298022,95710.2,-103,90.00008,79.0001,0,0
"9184",0,"54",268,45,11.0405555555556,0.339133636363636,1.558855,3.3746083072005,97663.5090909091,-454.400000000009,92.5225454545455,92.8185272727273,6.12,1.28244415950166
"9636",0,"55",315,85,12.9808333333333,8.47664384615385,-4.85002692307692,9.78649270892662,96854.1538461538,-1326,82.6155307692308,69.0770153846154,2.34,0
"140",0,"12",291,85,12.0772222222222,0.932935333333333,7.42578,7.64383358356548,96208.25,144,42.3333416666667,10.3333333333333,0,8.11849523086879
"4540",0,"34",256,65,10.4919444444444,0.8431116,-3.589876,4.02458906309155,97309.35,-330,90.19319,98.20037,12.24,1.4331300600376
"4057",0,"33",202,85,8.22222222222222,-0.209407142857143,4.54341,4.58712220161382,96826.1428571429,96,72.1430857142857,70.2857142857143,0,29.1932428259373
"5147",0,"41",166,105,7.67555555555556,0.644096375,1.4707865,1.75314034081405,95988.375,-56,81.500175,7.5,0,51.4699373810813
"1496",0,"22",281,65,11.6280555555556,-0.10324175,1.150463825,1.37187990613723,97419.9666666667,40,76.7805666666667,0,0,13.4102864620232
"9404",0,"55",279,65,11.5344444444444,-0.535741636363636,-1.76287909090909,1.89021124043147,97917.4545454545,-18.6999999999971,87.2314272727273,19.4545454545455,0.36,2.97114301156399
"6330",0,"43",286,45,11.8463888888889,0.582988333333333,-0.798390783333333,1.13507101932257,98282.9416666667,-100,88.2495166666667,0,0,66.3812963299389
"5111",0,"41",130,105,8.595,-0.0352119625,0.805272835,2.18283525683142,95812.5,-196,86.0001,54.25005,0.45,0.835082424293211
"5046",0,"41",287,105,11.9102777777778,1.02517571666667,0.771121916666667,2.49957516782805,97084.9166666667,-181,57.833425,0,0,0.316108900462845
"9202",0,"54",286,45,11.8438888888889,0.582988,-0.277557333333333,0.979247948139068,98824.6083333333,0,87.08285,0.25,0,66.3812963299389
"3770",0,"33",96,85,10.1297222222222,-2.938242,-2.223702,3.70193009793796,96599.2,110,95.00004,99.9995,0.40501548,0.0000834523579925714
"630",0,"14",146,85,8.12388888888889,0.3812941125,0.0293383750000001,2.31385487748675,95643.375,41,81.5002,30.500125,0,49.4050509209005
"4813",0,"41",234,65,9.44444444444444,-1.0112066,2.873087,3.15494212472068,96893.8,-52,78.10018,30.79994,0,40.450106030335
"7984",0,"51",275,85,11.3686111111111,-1.98271363636364,-0.482518036363636,2.06912891510523,98593.7272727273,-61,75.6365,16.9090909090909,0,44.4968787408999
"2530",0,"25",96,65,10.1605555555556,3.727567,-3.15235672,5.26198384921039,96252.3,-232,52.20006,67.19997,0.72,0
"7482",0,"45",286,85,11.8394444444444,0.838196666666667,-0.626516083333333,1.28034421136708,98166.275,-100,85.9161833333333,0,0,66.3812963299389
"3481",5,"32",242,45,9.84027777777778,-0.5097524,1.5762119,1.6753960862527,96920.7,31,94.90003,22,0,75.7832545061194
"3615",11,"32",136,45,8.39916666666667,1.366845125,1.794569875,2.57272826053197,97342.875,127,63.1251625,74.7501375,0,6.64754199829972
"9192",0,"54",276,45,11.4022222222222,-1.24947090909091,1.34724681818182,1.8874501717964,98011.8090909091,100,86.7491636363636,0,0,0.382378427122058
"7220",0,"45",235,85,9.56388888888889,1.3310863,-0.32642694,1.45597762928682,97586.8,-78,83.30019,0.2,0,32.278863480284
"7823",0,"51",114,85,9.27305555555555,-4.121323,-0.435877,4.6527581393134,96353.4,203,89.60016,96.99977,29.52,1.22985083920132
"2452",0,"25",253,65,10.3738888888889,-0.07371535,-2.0689724,2.15115228684567,97251.5,-507,88.80014,24.80001,0,0.294506067411283
"4782",0,"41",199,65,8.07222222222222,-2.10144642857143,-0.144019142857143,2.65264490029631,97223.7142857143,-216,90.2862142857143,83.1429714285714,19.98,16.2846730908437
"4492",0,"34",208,65,8.44305555555556,-0.2571049375,0.7838605125,1.53914612996908,97257.375,65,80.87515,49.250125,0,8.29155126690324
"3745",0,"32",300,45,12.4444444444444,0.120261076923077,-0.509180992307692,1.05540045642696,97645.2076923077,-200,92.6215307692308,47.3848846153846,0,1.0235009987161
"9266",0,"55",270,65,11.1458333333333,-0.889595545454545,1.85925190909091,2.12018888717335,97613.6363636364,-117,87.8182909090909,0,0,99.9478876114392
"6474",21,"44",212,105,8.59416666666667,0.696645142857143,0.107421985714286,0.835375830886372,97697.2857142857,-95,90.1427571428571,10.0000428571429,0,89.2080592956885
"507",0,"14",266,85,10.9608333333333,-3.20526727272727,3.54905363636364,5.04729507605316,96127.8181818182,110,91.1817272727273,86.5450818181818,1.62,5.37071792062603
"7461",0,"45",253,85,10.3625,2.799609,-2.734702,3.99256112939483,97501.47,-174.299999999988,76.9625,32.9,0.36,14.5514021246516
"3197",0,"31",167,105,7.67333333333333,-2.26088375,-0.9971094625,2.64660198464062,96311,-223,72.12495,13.25018,0,51.626214607628
"3543",0,"32",304,45,12.6144444444444,0.559028230769231,1.14092784615385,1.47273805574554,96471.1538461538,-147,87.2308769230769,5.23076923076923,0,46.5108484777435
"124",0,"12",261,85,10.725,0.29205355,-1.8156217,1.90775818529189,96659.9,-342,85.80007,57.2,0,1.65903907024073
"8533",0,"52",229,65,9.2375,-0.26418799,1.6978521,1.86978137304677,97561.3,-148,85.49997,28.8,0,60.0863058576372
"8076",0,"51",143,85,8.14277777777778,-2.738705,5.53879875,6.21204311213841,97267.875,97,71.3751,22.5002,0,76.0295141118866
"9159",0,"54",243,45,9.89444444444444,0.02538162,-0.8775978,1.19250536038855,98239.6,-95.6000000000058,93.62273,57.10136,0.36,0
"3981",0,"33",105,85,9.72361111111111,-2.654415,4.055629,4.85715292071745,96729.2,-10,52.40006,0.8,0,42.1841188724449
"8149",0,"51",216,85,8.67638888888889,-1.88012,3.07506125,3.66791749774775,97444.375,229,89.624825,0.25,0,0
"5903",0,"42",229,105,9.23916666666667,-0.3766879,0.99785261,1.65026706796058,97282.9,-120,86.49997,46.6,0,42.5999069440826
"2253",0,"24",237,85,9.62305555555556,0.5862078,-1.655346,1.77315222588692,96875.47,-110,86.90684,11.4,0,25.1699824103462
"4857",0,"41",278,65,11.4938888888889,0.740069833333333,0.449853508333333,2.4026493979251,96037.9416666667,-900,93.357275,37,3.6,0.125171025678342
"9293",0,"55",310,65,12.8075,1.09261315384615,-1.07301407692308,1.57062979636563,98847.7692307692,-614,72.9999307692308,44.7695076923077,0,4.99444230062758
"3354",0,"32",100,45,9.93194444444444,-1.13113411111111,1.435752,1.99069311437201,97454,17,64.6666333333333,21.5558666666667,0,21.5893067197533
"8268",0,"52",145,65,8.09333333333333,-0.804077875,2.22268625,2.57228390927124,96742.625,-39,89.2501,97.5005375,0.45,1.37263538259403
"1965",0,"24",138,85,8.36222222222222,-0.470774625,-3.0675875,3.1319872341046,97663.875,-118,72.25005,1.75,0,0
"1357",0,"22",104,65,9.75583333333333,0.15929364,3.412968,3.49032167947613,96649,-309,57.70007,67.2,0,2.27459981037754
"8322",0,"52",199,65,8.1075,0.4383925,-1.324638375,1.52810828227374,97252,-56,86.2501375,66.7502875,0,1.1997150639448
"500",0,"14",259,85,10.64,-0.8942414,5.02826,5.17096484133352,95339.9,195,75.40013,2,0,1.27457028348868
"5044",0,"41",285,105,11.8216666666667,2.13612666666667,-1.13215916666667,2.44181854545713,96530.5,-295,56.9167666666667,0,0,0
"990",0,"21",174,45,7.66277777777778,1.327896875,-1.704215,2.20728179747696,96336.125,-346,73.37505,6.25,0,74.7036137721498
"16",0,"12",127,85,8.73888888888889,2.09385075,-4.00864125,4.56590207607774,96378.375,-201,80.3751,86.9985,0,6.97188095854193
"6517",0,"44",255,105,10.4575,-0.8598564,1.4456846,1.69967984015972,97582.2,163,80.50007,13.2,0,0
"8764",0,"53",298,65,12.3577777777778,-2.43596166666667,1.91173566666667,3.12323979055949,97052.45,314.299999999988,71.3823583333333,54.2503083333333,0,2.35788487471878
"1591",0,"23",279,45,11.5488888888889,0.822105833333333,0.2267255,1.12534997283488,96414.6666666667,-83,81.9167416666667,61.1668166666667,0,0.794260005646325
"340",0,"12",258,85,10.5736111111111,-1.047294,0.94790044,1.43867575193434,96780.46,374.299999999988,95.10132,78.80025,0.144,17.2265517786761
"8126",0,"51",193,85,7.92361111111111,-0.1461007625,0.417244375,2.66486533642644,97147.75,-247,87.000325,64,3.96,3.7797433910674
"1776",0,"23",234,45,9.47555555555556,-0.86120688,3.873087,4.0198414440875,96021.2,46,73.90018,23.99994,4.86,45.9729036108972
"2678",0,"25",250,65,10.2255555555556,0.7470227,0.5614017,2.43690347164718,96755.16,-30,80.2353,56.50027,1.08,3.13241891390629
"4596",0,"34",312,65,12.8830555555556,1.33050384615385,-1.59509776923077,2.73335992591555,98215.2538461538,-400,88.9943153846154,46.0772307692308,0,6.36419725730341
"3809",0,"33",147,85,8.07083333333333,-1.011049375,1.600821,1.96846690209488,97183.25,50,66.6251375,74.75045,0,17.91432445766
"8945",0,"54",280,45,11.5922222222222,0.1462674875,2.01616833333333,2.06955618468195,97827.9166666667,272,80.7501333333333,39.1666916666667,0.36,3.84900286046274
"1512",0,"22",297,65,12.3222222222222,-0.141352891666667,-1.7971675,1.82484229988953,97633.65,-414.399999999994,76.935675,7.83333333333333,0,14.4371815717904
"1614",0,"23",302,45,12.5288888888889,0.524220923076923,1.14075146153846,1.37796115025705,95960.3076923077,-172,80.8462230769231,6.61538461538461,0,69.8105003493276
"3497",0,"32",258,45,10.5836111111111,-1.29505955555556,4.44264666666667,4.63407172528146,96684.3333333333,-176,75.8891111111111,21.3333333333333,0,0
"8285",0,"52",162,65,7.74222222222222,0.6060824625,-4.94740625,4.99923644840547,96801,-112,92.250125,100,0,0
"4965",0,"41",183,105,7.73083333333333,-0.540051875,-0.7720289,1.22449761981667,96820.625,-44,90.6251,46.250875,0,52.8080097161062
"5303",0,"42",236,65,9.56388888888889,-0.299499951,-1.0586785,1.21102077782549,97671.4,-316,86.80007,0,0,44.8365846951602
"3702",0,"32",257,45,10.525,-0.7009152,-2.4381,2.56108618209579,97855.36,-200,86.5958,98.50057,0,1.18435693146799
"6580",0,"44",318,105,13.0958333333333,0.275067461538462,3.80717615384615,3.85045090842831,97732.3846153846,-108,52.1537923076923,0,0,1.60062456016401
"8239",0,"51",306,85,12.6911111111111,-0.795322915384615,-1.96820330769231,2.25110155756739,97935.1153846154,-234.399999999994,49.8756461538462,60.6157846153846,0,0.0746165199918324
"4765",0,"41",182,65,7.71472222222222,-0.3543339625,-2.28467125,2.34984772112948,97238,-245,67.7500375,0,0,2.87622680372691
"5531",0,"42",261,65,10.7105555555556,-0.6762144,1.6282069,1.82968554760176,97003.99,114.400000000009,78.76189,4.3,0,93.0540080022271
"5628",0,"42",155,105,7.85388888888889,0.886639,-0.343442125,1.45285595847438,97263.125,-70,92.8751875,99.2500375,0.36,0.686756191442786
"5648",0,"42",175,105,7.69555555555556,-0.89780520075,-3.13311375,3.36658790309016,96963.875,-81,89.2499625,40.2500125,4.5,19.8872199510871
"5253",0,"41",276,105,11.4025,-1.20401627272727,1.72792909090909,2.13461732363482,97075.4454545455,100,85.4764363636364,0,0,0.382378427122058
"638",0,"14",154,85,7.93138888888889,0.38148124375,3.33242875,3.36471674860741,96069,132,63.25015,4.75,0,0
"301",0,"12",219,85,8.82305555555556,-1.00475255555556,-0.109554333333333,1.20869662042838,96575,149,80.0001222222222,76.0001222222222,0,1.60658445222097
"1104",0,"21",312,45,12.9183333333333,1.42185,-1.84990584615385,2.9132050642657,97476.7923076923,-500,88.6866230769231,41.9233153846154,0,6.57094779186386
"2134",0,"24",71,85,11.31,-0.257853783333333,1.50659091666667,1.92495757962359,96807.5833333333,345,58.1667666666667,18,0,2.83118834863561
"5402",0,"42",92,65,10.3202777777778,3.539654,1.0951739,3.96819572444879,97098.4,465,70.5001,12.6,0,4.42861192796155
"8584",0,"52",280,65,11.5836111111111,3.02500033333333,-3.86742833333333,5.04830123239756,97925.5916666667,-960,90.6917666666667,50.6666416666667,2.52,0
"9369",0,"55",230,65,9.33666666666667,-0.8835431,0.55171517,1.48181754071086,97923.7,4,87.3999,46.2,0,53.7660805898716
"817",0,"21",108,45,9.545,0.00855761111111113,0.563351888888889,1.44738523997989,95731.5555555556,120,91.3334555555556,72.4445777777778,0,0
"2011",0,"24",193,85,8.00333333333333,0.9378185,1.240761875,1.58966402873953,95885.875,208,87.5001,7,0,0.712738426400059
"938",0,"21",122,45,8.92944444444444,1.23448933333333,-1.81704888888889,2.32915761037399,96977.2222222222,101,84.0001111111111,62.6670333333333,0,1.28348565703142
"5075",0,"41",94,105,10.2152777777778,0.13677943,-3.686477,3.74514050361458,96871,-1039,54.20004,5,0,1.18256410862593
"3814",0,"33",152,85,7.94833333333333,-2.03948375,3.80504,4.35524147550326,97168.875,181,76.8751375,59.249675,0,40.5386051672053
"8897",0,"54",218,45,8.82222222222222,-0.232763032,1.93857485714286,1.98185229347676,97251.5714285714,135,94.4286714285714,32.0001285714286,0,27.6444712353299
"7602",0,"51",107,65,9.60583333333333,-2.917752,2.474718,4.02004904927186,98176.7,-144,68.70008,54.20029,0,29.0823804772692
"3720",7,"32",275,45,11.3569444444444,0.249230272727273,-0.164531836363636,0.933637572945695,97337.7818181818,-100,87.3179454545455,30.9091,0,0
"6634",0,"44",124,105,8.90333333333333,2.71822777777778,-1.47305114444444,3.55942034303197,97143.6666666667,-111,60.0003888888889,2.66666666666667,0,0
"8425",0,"52",87,65,10.5563888888889,-0.0753241,0.2670036,0.647078663099514,97689.3,-26,75.0002,0,0,55.8600838543184
"188",0,"12",106,85,9.66861111111111,-3.224406,4.047789,5.19394413552966,96086.9,-127,64.30008,36.60042,0,42.7678671455821
"9531",0,"55",196,85,8.11666666666667,-2.45985125,1.203680875,2.81383410353366,97412.375,75,93.875,99.9999625,60.84,0
"2054",0,"24",236,85,9.59,0.63799941,-1.2461782,1.44525989600544,97067.4,-259,82.90007,0,0,44.8365846951602
